Date,Even,Odd,High,Low
2012-03-23,2,3,2,3
2012-03-30,2,3,1,4
2012-04-06,4,1,3,2
2012-04-13,2,3,2,3
2012-04-20,3,2,3,2
2012-04-27,2,3,2,3
2012-05-04,1,4,5,0
2012-05-11,1,4,3,2
2012-05-18,4,1,3,2
2012-05-25,3,2,3,2
2012-06-01,3,2,4,1
2012-06-08,4,1,2,3
2012-06-15,4,1,1,4
2012-06-22,2,3,2,3
2012-06-29,2,3,2,3
2012-07-06,4,1,2,3
2012-07-13,2,3,3,2
2012-07-20,2,3,0,5
2012-07-27,2,3,2,3
2012-08-03,3,2,0,5
2012-08-10,4,1,3,2
2012-08-17,3,2,3,2
2012-08-24,1,4,2,3
2012-08-31,5,0,3,2
2012-09-07,1,4,2,3
2012-09-14,3,2,1,4
2012-09-21,2,3,4,1
2012-09-28,3,2,2,3
2012-10-05,4,1,5,0
2012-10-12,1,4,2,3
2012-10-19,4,1,1,4
2012-10-26,2,3,0,5
2012-11-02,1,4,1,4
2012-11-09,2,3,4,1
2012-11-16,2,3,1,4
2012-11-23,3,2,3,2
2012-11-30,2,3,1,4
2012-12-07,3,2,2,3
2012-12-14,2,3,4,1
2012-12-21,2,3,1,4
2012-12-28,4,1,2,3
2013-01-04,3,2,3,2
2013-01-11,1,4,4,1
2013-01-18,1,4,2,3
2013-01-25,3,2,3,2
2013-02-01,4,1,2,3
2013-02-08,2,3,2,3
2013-02-15,4,1,3,2
2013-02-22,1,4,3,2
2013-03-01,3,2,4,1
2013-03-08,4,1,2,3
2013-03-15,4,1,4,1
2013-03-22,2,3,2,3
2013-03-29,2,3,3,2
2013-04-05,2,3,4,1
2013-04-12,4,1,2,3
2013-04-19,3,2,0,5
2013-04-26,1,4,1,4
2013-05-03,5,0,3,2
2013-05-10,1,4,3,2
2013-05-17,4,1,1,4
2013-05-24,3,2,1,4
2013-05-31,2,3,1,4
2013-06-07,1,4,2,3
2013-06-14,2,3,3,2
2013-06-21,2,3,1,4
2013-06-28,2,3,2,3
2013-07-05,2,3,1,4
2013-07-12,1,4,4,1
2013-07-19,1,4,2,3
2013-07-26,1,4,1,4
2013-08-02,1,4,3,2
2013-08-09,3,2,4,1
2013-08-16,2,3,4,1
2013-08-23,3,2,2,3
2013-08-30,2,3,1,4
2013-09-06,3,2,2,3
2013-09-13,2,3,2,3
2013-09-20,4,1,0,5
2013-09-27,4,1,2,3
2013-10-04,2,3,1,4
2013-10-11,2,3,2,3
2013-10-18,2,3,1,4
2013-10-25,1,4,3,2
2013-11-01,2,3,2,3
2013-11-08,4,1,3,2
2013-11-15,2,3,3,2
2013-11-22,2,3,4,1
2013-11-29,1,4,3,2
2013-12-06,2,3,1,4
2013-12-13,2,3,2,3
2013-12-20,3,2,2,3
2013-12-27,2,3,3,2
2014-01-03,3,2,3,2
2014-01-10,4,1,2,3
2014-01-17,1,4,1,4
2014-01-24,5,0,4,1
2014-01-31,2,3,3,2
2014-02-07,4,1,2,3
2014-02-14,2,3,2,3
2014-02-21,3,2,2,3
2014-02-28,2,3,1,4
2014-03-07,2,3,1,4
2014-03-14,2,3,1,4
2014-03-21,4,1,3,2
2014-03-28,3,2,4,1
2014-04-04,4,1,3,2
2014-04-11,3,2,1,4
2014-04-18,4,1,4,1
2014-04-25,3,2,2,3
2014-05-02,2,3,4,1
2014-05-09,2,3,1,4
2014-05-16,3,2,4,1
2014-05-23,1,4,3,2
2014-05-30,1,4,2,3
2014-06-06,2,3,2,3
2014-06-13,2,3,1,4
2014-06-20,2,3,2,3
2014-06-27,2,3,4,1
2014-07-04,2,3,1,4
2014-07-11,2,3,2,3
2014-07-18,2,3,1,4
2014-07-25,2,3,3,2
2014-08-01,2,3,3,2
2014-08-08,2,3,2,3
2014-08-15,1,4,4,1
2014-08-22,3,2,3,2
2014-08-29,2,3,1,4
2014-09-05,2,3,5,0
2014-09-12,1,4,1,4
2014-09-19,3,2,2,3
2014-09-26,5,0,4,1
2014-10-03,3,2,3,2
2014-10-10,2,3,1,4
2014-10-17,2,3,3,2
2014-10-24,2,3,2,3
2014-10-31,1,4,3,2
2014-11-07,0,5,2,3
2014-11-14,1,4,3,2
2014-11-21,2,3,3,2
2014-11-28,3,2,2,3
2014-12-05,2,3,3,2
2014-12-12,1,4,1,4
2014-12-19,2,3,2,3
2014-12-26,2,3,3,2
2015-01-02,4,1,4,1
2015-01-09,1,4,2,3
2015-01-16,4,1,2,3
2015-01-23,4,1,2,3
2015-01-30,2,3,1,4
2015-02-06,1,4,2,3
2015-02-13,3,2,2,3
2015-02-20,3,2,2,3
2015-02-27,2,3,4,1
2015-03-06,3,2,1,4
2015-03-13,2,3,2,3
2015-03-20,1,4,2,3
2015-03-27,2,3,4,1
2015-04-03,2,3,4,1
2015-04-10,3,2,3,2
2015-04-17,2,3,1,4
2015-04-24,2,3,3,2
2015-05-01,4,1,2,3
2015-05-08,3,2,4,1
2015-05-15,5,0,2,3
2015-05-22,3,2,2,3
2015-05-29,4,1,2,3
2015-06-05,3,2,4,1
2015-06-12,1,4,3,2
2015-06-19,3,2,1,4
2015-06-26,2,3,4,1
2015-07-03,1,4,4,1
2015-07-10,2,3,4,1
2015-07-17,3,2,3,2
2015-07-24,4,1,1,4
2015-07-31,2,3,2,3
2015-08-07,1,4,1,4
2015-08-14,1,4,3,2
2015-08-21,3,2,3,2
2015-08-28,3,2,3,2
2015-09-04,2,3,3,2
2015-09-11,2,3,3,2
2015-09-18,1,4,2,3
2015-09-25,2,3,1,4
2015-10-02,1,4,3,2
2015-10-09,2,3,2,3
2015-10-16,3,2,3,2
2015-10-23,4,1,3,2
2015-10-30,2,3,2,3
2015-11-06,5,0,0,5
2015-11-13,1,4,3,2
2015-11-20,3,2,2,3
2015-11-27,2,3,2,3
2015-12-04,5,0,3,2
2015-12-11,2,3,5,0
2015-12-18,2,3,3,2
2015-12-25,3,2,3,2
2016-01-01,2,3,3,2
2016-01-08,2,3,1,4
2016-01-15,1,4,2,3
2016-01-22,2,3,3,2
2016-01-29,4,1,3,2
2016-02-05,1,4,3,2
2016-02-12,1,4,2,3
2016-02-19,3,2,3,2
2016-02-26,1,4,2,3
2016-03-04,3,2,1,4
2016-03-11,3,2,3,2
2016-03-18,3,2,3,2
2016-03-25,2,3,1,4
2016-04-01,3,2,2,3
2016-04-08,3,2,2,3
2016-04-15,1,4,2,3
2016-04-22,1,4,4,1
2016-04-29,5,0,1,4
2016-05-06,4,1,3,2
2016-05-13,3,2,3,2
2016-05-20,2,3,2,3
2016-05-27,4,1,3,2
2016-06-03,3,2,3,2
2016-06-10,3,2,3,2
2016-06-17,3,2,1,4
2016-06-24,2,3,2,3
2016-07-01,2,3,5,0
2016-07-08,2,3,2,3
2016-07-15,5,0,3,2
2016-07-22,5,0,2,3
2016-07-29,5,0,2,3
2016-08-05,3,2,2,3
2016-08-12,3,2,1,4
2016-08-19,3,2,4,1
2016-08-26,2,3,2,3
2016-09-02,4,1,4,1
2016-09-09,1,4,4,1
2016-09-16,2,3,4,1
2016-09-23,0,5,1,4
2016-09-30,3,2,4,1
2016-10-07,3,2,2,3
2016-10-14,2,3,2,3
2016-10-21,4,1,3,2
2016-10-28,3,2,0,5
2016-11-04,4,1,1,4
2016-11-11,3,2,2,3
2016-11-18,4,1,2,3
2016-11-25,2,3,4,1
2016-12-02,3,2,3,2
2016-12-09,3,2,3,2
2016-12-16,3,2,1,4
2016-12-23,3,2,4,1
2016-12-30,2,3,5,0
2017-01-06,1,4,2,3
2017-01-13,3,2,3,2
2017-01-20,1,4,2,3
2017-01-27,2,3,2,3
2017-02-03,1,4,2,3
2017-02-10,2,3,3,2
2017-02-17,2,3,2,3
2017-02-24,1,4,0,5
2017-03-03,2,3,0,5
2017-03-10,3,2,2,3
2017-03-17,2,3,2,3
2017-03-24,4,1,4,1
2017-03-31,5,0,3,2
2017-04-07,2,3,4,1
2017-04-14,3,2,3,2
2017-04-21,2,3,5,0
2017-04-28,1,4,4,1
2017-05-05,2,3,2,3
2017-05-12,2,3,3,2
2017-05-19,3,2,4,1
2017-05-26,0,5,0,5
2017-06-02,4,1,1,4
2017-06-09,2,3,1,4
2017-06-16,2,3,2,3
2017-06-23,2,3,2,3
2017-06-30,1,4,1,4
2017-07-07,2,3,1,4
2017-07-14,0,5,2,3
2017-07-21,3,2,5,0
2017-07-28,4,1,3,2
2017-08-04,3,2,4,1
2017-08-11,2,3,1,4
2017-08-18,4,1,2,3
2017-08-25,2,3,3,2
2017-09-01,2,3,1,4
2017-09-08,4,1,4,1
2017-09-15,1,4,3,2
2017-09-22,3,2,3,2
2017-09-29,3,2,2,3
2017-10-06,3,2,3,2
2017-10-13,3,2,4,1
2017-10-20,2,3,2,3
2017-10-27,3,2,2,3
2017-11-03,3,2,4,1
2017-11-10,3,2,1,4
2017-11-17,1,4,2,3
2017-11-24,3,2,1,4
2017-12-01,3,2,2,3
2017-12-08,3,2,1,4
2017-12-15,3,2,0,5
2017-12-22,4,1,4,1
2017-12-29,3,2,4,1
2018-01-05,3,2,3,2
2018-01-12,3,2,2,3
2018-01-19,0,5,2,3
2018-01-26,2,3,3,2
2018-02-02,1,4,3,2
2018-02-09,4,1,2,3
2018-02-16,3,2,1,4
2018-02-23,4,1,4,1
2018-03-02,4,1,2,3
2018-03-09,2,3,3,2
2018-03-16,2,3,4,1
2018-03-23,4,1,2,3
2018-03-30,1,4,2,3
2018-04-06,4,1,1,4
2018-04-13,2,3,1,4
2018-04-20,4,1,2,3
2018-04-27,1,4,3,2
2018-05-04,3,2,4,1
2018-05-11,1,4,2,3
2018-05-18,1,4,2,3
2018-05-25,2,3,4,1
2018-06-01,3,2,2,3
2018-06-08,2,3,2,3
2018-06-15,0,5,0,5
2018-06-22,2,3,3,2
2018-06-29,3,2,3,2
2018-07-06,3,2,2,3
2018-07-13,3,2,2,3
2018-07-20,2,3,4,1
2018-07-27,4,1,3,2
2018-08-03,3,2,1,4
2018-08-10,1,4,0,5
2018-08-17,4,1,3,2
2018-08-24,4,1,3,2
2018-08-31,3,2,0,5
2018-09-07,3,2,3,2
2018-09-14,2,3,4,1
2018-09-21,4,1,2,3
2018-09-28,3,2,1,4
2018-10-05,3,2,3,2
2018-10-12,4,1,4,1
2018-10-19,4,1,3,2
2018-10-26,3,2,3,2
2018-11-02,1,4,3,2
2018-11-09,4,1,4,1
2018-11-16,1,4,2,3
2018-11-23,3,2,3,2
2018-11-30,3,2,3,2
2018-12-07,3,2,2,3
2018-12-14,5,0,2,3
2018-12-21,3,2,2,3
2018-12-28,3,2,3,2
2019-01-04,2,3,2,3
2019-01-11,2,3,3,2
2019-01-18,2,3,2,3
2019-01-25,3,2,3,2
2019-02-01,2,3,4,1
2019-02-08,3,2,1,4
2019-02-15,2,3,3,2
2019-02-22,3,2,1,4
2019-03-01,3,2,0,5
2019-03-08,2,3,4,1
2019-03-15,1,4,1,4
2019-03-22,3,2,2,3
2019-03-29,3,2,1,4
2019-04-05,3,2,4,1
2019-04-12,3,2,2,3
2019-04-19,1,4,3,2
2019-04-26,2,3,1,4
2019-05-03,2,3,1,4
2019-05-10,0,5,1,4
2019-05-17,2,3,4,1
2019-05-24,4,1,4,1
2019-05-31,3,2,3,2
2019-06-07,3,2,2,3
2019-06-14,3,2,3,2
2019-06-21,1,4,4,1
2019-06-28,3,2,3,2
2019-07-05,3,2,3,2
2019-07-12,3,2,5,0
2019-07-19,1,4,5,0
2019-07-26,4,1,3,2
2019-08-02,3,2,3,2
2019-08-09,3,2,1,4
2019-08-16,3,2,3,2
2019-08-23,2,3,2,3
2019-08-30,4,1,3,2
2019-09-06,3,2,3,2
2019-09-13,1,4,2,3
2019-09-20,1,4,3,2
2019-09-27,3,2,3,2
2019-10-04,1,4,2,3
2019-10-11,3,2,2,3
2019-10-18,2,3,3,2
2019-10-25,3,2,4,1
2019-11-01,2,3,3,2
2019-11-08,2,3,2,3
2019-11-15,3,2,2,3
2019-11-22,3,2,2,3
2019-11-29,2,3,3,2
2019-12-06,3,2,2,3
2019-12-13,2,3,4,1
2019-12-20,3,2,1,4
2019-12-27,3,2,3,2
2020-01-03,2,3,4,1
2020-01-10,3,2,2,3
2020-01-17,1,4,3,2
2020-01-24,3,2,2,3
2020-01-31,1,4,1,4
2020-02-07,4,1,2,3
2020-02-14,4,1,3,2
2020-02-21,1,4,3,2
2020-02-28,4,1,2,3
2020-03-06,1,4,3,2
2020-03-13,1,4,3,2
2020-03-20,3,2,3,2
2020-03-27,1,4,2,3
2020-04-03,2,3,3,2
2020-04-10,3,2,2,3
2020-04-17,1,4,2,3
2020-04-24,2,3,2,3
2020-05-01,2,3,1,4
2020-05-08,1,4,2,3
2020-05-15,1,4,4,1
2020-05-22,3,2,3,2
2020-05-29,4,1,3,2
2020-06-05,1,4,2,3
2020-06-12,4,1,2,3
2020-06-19,3,2,3,2
2020-06-26,4,1,3,2
2020-07-03,4,1,4,1
2020-07-10,1,4,1,4
2020-07-17,1,4,2,3
2020-07-24,1,4,2,3
2020-07-31,1,4,3,2
2020-08-07,3,2,1,4
2020-08-14,2,3,3,2
2020-08-21,3,2,5,0
2020-08-28,3,2,2,3
2020-09-04,2,3,3,2
2020-09-11,2,3,2,3
2020-09-18,4,1,2,3
2020-09-25,1,4,2,3
2020-10-02,1,4,3,2
2020-10-09,0,5,1,4
2020-10-16,2,3,3,2
2020-10-23,0,5,2,3
2020-10-30,1,4,2,3
2020-11-06,3,2,3,2
2020-11-13,1,4,2,3
2020-11-20,4,1,3,2
2020-11-27,3,2,1,4
2020-12-04,1,4,4,1
2020-12-11,1,4,2,3
2020-12-18,3,2,3,2
2020-12-25,3,2,2,3
2021-01-01,3,2,4,1
2021-01-08,4,1,2,3
2021-01-15,4,1,3,2
2021-01-22,4,1,5,0
2021-01-29,3,2,4,1
2021-02-05,3,2,2,3
2021-02-12,3,2,2,3
2021-02-19,2,3,5,0
2021-02-26,2,3,2,3
2021-03-05,3,2,3,2
2021-03-12,4,1,2,3
2021-03-19,1,4,2,3
2021-03-26,3,2,4,1
2021-04-02,2,3,2,3
2021-04-09,2,3,2,3
2021-04-16,3,2,2,3
2021-04-23,2,3,1,4
2021-04-30,2,3,4,1
2021-05-07,0,5,2,3
2021-05-14,2,3,3,2
2021-05-21,2,3,2,3
2021-05-28,1,4,4,1
2021-06-04,2,3,3,2
2021-06-11,4,1,2,3
2021-06-17,3,2,3,2
